Project,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth
CAYMAN RESIDENCES,47.37,19,9,15,EAST COAST AVENUE,15.0,15.0,15.0,OCR,0
GRANDEUR PARK RESIDENCES,97.08,720,699,16,BEDOK SOUTH AVENUE 3,16.0,16.0,16.0,OCR,0
THE FLORENCE RESIDENCES,38.5,200,77,19,HOUGANG AVENUE 2,19.0,19.0,19.0,OCR,77
THE CLEMENT CANOPY,100.0,505,505,5,CLEMENTI AVENUE 1,5.0,5.0,5.0,OCR,1
REZI 24,3.64,110,4,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,4
SEASIDE RESIDENCES,87.75,841,738,15,SIGLAP LINK,15.0,15.0,15.0,OCR,3
ARTRA,79.5,400,318,3,ALEXANDRA VIEW,3.0,3.0,3.0,RCR,2
MARTIN MODERN,91.59,345,316,9,MARTIN PLACE,9.0,9.0,9.0,CCR,7
HILLSGROVE,41.67,12,5,19,HILLSIDE DRIVE,19.0,19.0,19.0,OCR,0
DUO RESIDENCES,99.55,660,657,7,FRASER STREET,7.0,7.0,7.0,CCR,0
TREASURE CREST,99.8,504,503,19,ANCHORVALE CRESCENT,19.0,19.0,19.0,OCR,2
REZI 35,100.0,44,44,14,LORONG 35 GEYLANG,14.0,14.0,14.0,RCR,1
CARPMAEL THIRTY-EIGHT,68.75,16,11,15,CARPMAEL ROAD,15.0,15.0,15.0,RCR,1
M5,33.33,33,11,10,JALAN MUTIARA,10.0,10.0,10.0,CCR,1
KANDIS RESIDENCE,83.61,61,51,27,KANDIS LINK,27.0,27.0,27.0,OCR,2
PARC LIFE,100.0,628,628,27,SEMBAWANG CRESCENT,27.0,27.0,27.0,OCR,0
ASPEN LINQ,94.44,18,17,9,INSTITUTION HILL,9.0,9.0,9.0,CCR,0
SANDY EIGHT,70.0,20,14,15,SANDY LANE,15.0,15.0,15.0,RCR,1
ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0
THE POIZ RESIDENCES,99.45,731,727,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,0
183 LONGHAUS,97.5,40,39,20,UPPER THOMSON ROAD,20.0,20.0,20.0,RCR,0
THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0
URBAN VILLAS,71.43,7,5,19,PAYA LEBAR CRESCENT,19.0,19.0,19.0,OCR,1
TWIN VEW,87.5,520,455,5,WEST COAST VALE,5.0,5.0,5.0,OCR,1
NEEM TREE,86.11,72,62,12,JALAN KEMAMAN,12.0,12.0,12.0,RCR,1
PARC BOTANNIA,72.79,735,535,28,FERNVALE STREET,28.0,28.0,28.0,OCR,55
THE NAVIAN,89.58,48,43,14,JALAN EUNOS,14.0,14.0,14.0,OCR,0
LE QUEST,92.53,415,384,23,BUKIT BATOK STREET 41,23.0,23.0,23.0,OCR,5
THE ALPS RESIDENCES,98.4,626,616,18,TAMPINES STREET 86,18.0,18.0,18.0,OCR,1
PARK PLACE RESIDENCES AT PLQ,97.9,429,420,14,PAYA LEBAR ROAD,14.0,14.0,14.0,RCR,4
NORTHWAVE,100.0,358,358,25,WOODLANDS VIEW,25.0,25.0,25.0,OCR,5
KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0
WHISTLER GRAND,95.33,300,286,5,WEST COAST VALE,5.0,5.0,5.0,OCR,23
35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3
1953,31.03,58,18,12,TESSENSOHN ROAD,12.0,12.0,12.0,RCR,18
PETIT JERVOIS,100.0,1,1,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0
MAYFAIR GARDENS,95.0,140,133,21,RIFLE RANGE ROAD,21.0,21.0,21.0,RCR,13
THE RAMFORD,81.25,16,13,15,RAMBAI ROAD,15.0,15.0,15.0,RCR,6
FOREST WOODS,97.69,519,507,19,LORONG LEW LIAN,19.0,19.0,19.0,OCR,2
GEM RESIDENCES,99.48,578,575,12,LORONG 5 TOA PAYOH,12.0,12.0,12.0,RCR,1
ONE MEYER,15.15,66,10,15,MEYER PLACE,15.0,15.0,15.0,RCR,10
PARC ESTA,87.82,550,483,14,SIMS AVENUE,14.0,14.0,14.0,RCR,36
THE ADDITION,73.08,26,19,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,2
NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4
BELGRAVIA GREEN,81.63,49,40,28,BELGRAVIA DRIVE,28.0,28.0,28.0,OCR,2
ALIAS VILLAS,0.0,6,0,10,JALAN HAJI ALIAS,10.0,10.0,10.0,CCR,0
FYVE DERBYSHIRE,16.67,36,6,11,DERBYSHIRE ROAD,11.0,11.0,11.0,CCR,1
V ON SHENTON,90.2,500,451,1,SHENTON WAY,1.0,1.0,1.0,CCR,1
BOTANIC @ CLUNY PARK,50.0,6,3,10,CLUNY PARK ROAD,10.0,10.0,10.0,CCR,0
QUEENS PEAK,94.7,736,697,3,DUNDEE ROAD,3.0,3.0,3.0,RCR,0
NIM COLLECTION,72.45,98,71,28,NIM RISE/NIM TERRACE,28.0,28.0,28.0,OCR,11
RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1
CASHEW GREEN,54.55,11,6,23,CASHEW ROAD,23.0,23.0,23.0,OCR,0
SOL ACRES,100.0,1327,1327,23,CHOA CHU KANG GROVE,23.0,23.0,23.0,OCR,0
THE ESSENCE,7.14,84,6,26,CHONG KUO ROAD,26.0,26.0,26.0,OCR,6
10 EVELYN,7.14,56,4,11,EVELYN ROAD,11.0,11.0,11.0,CCR,0
TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0
AFFINITY AT SERANGOON,74.0,650,481,19,SERANGOON NORTH AVENUE 1,19.0,19.0,19.0,OCR,50
SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0
RIVERFRONT RESIDENCES,78.17,1200,938,19,HOUGANG AVENUE 7,19.0,19.0,19.0,OCR,55
CITY GATE,100.0,311,311,7,BEACH ROAD,7.0,7.0,7.0,RCR,0
33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0
12 ON SHAN,0.0,30,0,12,SHAN ROAD,12.0,12.0,12.0,RCR,0
LANDED HOUSING DEVELOPMENT,44.44,9,4,26,MENG SUAN ROAD,26.0,26.0,26.0,OCR,0
ALANA,88.46,26,23,28,SUNRISE TERRACE,28.0,28.0,28.0,OCR,0
KENT RIDGE HILL RESIDENCES,60.8,250,152,5,SOUTH BUONA VISTA ROAD,5.0,5.0,5.0,RCR,14
THE GARDEN RESIDENCES,78.85,156,123,19,SERANGOON NORTH VIEW,19.0,19.0,19.0,OCR,29
ONE TREE HILL COLLECTION,75.0,4,3,10,JALAN ARNAP/ONE TREE HILL/JALAN KELAWAR,10.0,10.0,10.0,CCR,0
THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8
LINK RESIDENCE @ HOLLAND,0.0,2,0,10,GREENLEAF ROAD,10.0,10.0,10.0,CCR,0
RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2
DAINTREE RESIDENCE,58.75,80,47,21,TOH TUCK ROAD,21.0,21.0,21.0,RCR,0
FOURTH AVENUE RESIDENCES,46.43,168,78,10,FOURTH AVENUE,10.0,10.0,10.0,CCR,9
TREASURE AT TAMPINES,58.98,490,289,18,TAMPINES LANE,18.0,18.0,18.0,OCR,289
EDEN RESIDENCES CAPITOL,41.03,39,16,6,STAMFORD ROAD,6.0,6.0,6.0,CCR,0
FERRA,0.0,33,0,9,LEONIE HILL,9.0,9.0,9.0,CCR,0
ARENA RESIDENCES,71.43,70,50,14,GUILLEMARD CRESCENT,14.0,14.0,14.0,RCR,4
SIXTEEN35 RESIDENCES,100.0,60,60,14,LORONG 35 GEYLANG,14.0,14.0,14.0,RCR,0
WATERCOVE,94.59,74,70,27,WAK HASSAN DRIVE,27.0,27.0,27.0,OCR,1
RIVERCOVE RESIDENCES,98.73,628,620,19,ANCHORVALE LANE,19.0,19.0,19.0,OCR,1
120 GRANGE,90.0,50,45,10,GRANGE ROAD,10.0,10.0,10.0,CCR,0
JUI RESIDENCES,42.74,117,50,12,SERANGOON ROAD,12.0,12.0,12.0,RCR,3
ONE DRAYCOTT,4.69,64,3,10,DRAYCOTT PARK,10.0,10.0,10.0,CCR,0
HARBOUR VIEW GARDENS,98.25,57,56,5,PASIR PANJANG ROAD,5.0,5.0,5.0,RCR,0
38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0
THE TAPESTRY,87.43,700,612,18,TAMPINES STREET 86,18.0,18.0,18.0,OCR,30
MARINA ONE RESIDENCES,85.39,671,573,1,MARINA WAY,1.0,1.0,1.0,CCR,10
AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0
JADESCAPE,80.21,480,385,20,SHUNFU ROAD,20.0,20.0,20.0,RCR,11
THE ENCLAVE . HOLLAND,100.0,10,10,10,HOLLAND ROAD,10.0,10.0,10.0,CCR,0
BOULEVARD 88,74.29,35,26,10,ORCHARD BOULEVARD,10.0,10.0,10.0,CCR,26
SEASUITES,96.15,52,50,5,PASIR PANJANG ROAD,5.0,5.0,5.0,RCR,0
KALLANG RIVERSIDE,93.87,212,199,12,KAMPONG BUGIS,12.0,12.0,12.0,RCR,0
STIRLING RESIDENCES,87.94,680,598,3,STIRLING ROAD,3.0,3.0,3.0,RCR,45
THE TRE VER,97.33,450,438,13,POTONG PASIR AVENUE 1,13.0,13.0,13.0,RCR,131
3 CUSCADEN,36.46,96,35,10,CUSCADEN WALK,10.0,10.0,10.0,CCR,6
PARKSUITES,34.0,50,17,10,HOLLAND GROVE ROAD,10.0,10.0,10.0,CCR,0
CASA AL MARE,22.45,49,11,17,JALAN LOYANG BESAR,17.0,17.0,17.0,OCR,0
BUKIT 828,52.94,17,9,23,UPPER BUKIT TIMAH ROAD,23.0,23.0,23.0,OCR,1
8 HULLET,79.55,44,35,9,HULLET ROAD,9.0,9.0,9.0,CCR,0
MONT BOTANIK RESIDENCE,11.11,54,6,23,JALAN REMAJA,23.0,23.0,23.0,OCR,0
MARGARET VILLE,85.11,188,160,3,MARGARET DRIVE,3.0,3.0,3.0,RCR,10
BIJOU,65.83,120,79,5,JALAN MAT JAMBOL,5.0,5.0,5.0,RCR,1
THE WOODLEIGH RESIDENCES,54.0,50,27,13,BIDADARI PARK DRIVE,13.0,13.0,13.0,RCR,0
THE OCTET,98.21,56,55,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,0
PARK COLONIAL,72.05,805,580,13,WOODLEIGH LANE,13.0,13.0,13.0,RCR,11
