,Project,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
0,CAYMAN RESIDENCES,15.0,15.0,15.0,OCR,0,454785,1.3094282152968402,103.922016118855,EAST COAST AVENUE,47.37,19,9,15
1,GRANDEUR PARK RESIDENCES,16.0,16.0,16.0,OCR,0,465466,1.32489040193077,103.944841446726,BEDOK SOUTH AVENUE 3,97.08,720,699,16
2,THE FLORENCE RESIDENCES,19.0,19.0,19.0,OCR,77,533752,1.3672144687456,103.886695353899,HOUGANG AVENUE 2,38.5,200,77,19
3,THE CLEMENT CANOPY,5.0,5.0,5.0,OCR,1,129961,1.30667624811571,103.768536922932,CLEMENTI AVENUE 1,100.0,505,505,5
4,REZI 24,14.0,14.0,14.0,RCR,4,398636,1.31156422500947,103.883576001591,LORONG 24 GEYLANG,3.64,110,4,14
5,SEASIDE RESIDENCES,15.0,15.0,15.0,OCR,3,448873,1.3074128972961598,103.926676412664,SIGLAP LINK,87.75,841,738,15
6,ARTRA,3.0,3.0,3.0,RCR,2,158736,1.29012765494823,103.81655234786899,ALEXANDRA VIEW,79.5,400,318,3
7,MARTIN MODERN,9.0,9.0,9.0,CCR,7,237964,1.29327832151344,103.83736905504999,MARTIN PLACE,91.59,345,316,9
8,HILLSGROVE,19.0,19.0,19.0,OCR,0,544773,1.35595266721864,103.879106731641,HILLSIDE DRIVE,41.67,12,5,19
9,DUO RESIDENCES,7.0,7.0,7.0,CCR,0,189350,1.29916295967819,103.857859536947,FRASER STREET,99.55,660,657,7
10,TREASURE CREST,19.0,19.0,19.0,OCR,2,544617,1.39822841732376,103.891999593966,ANCHORVALE CRESCENT,99.8,504,503,19
11,REZI 35,14.0,14.0,14.0,RCR,1,387949,1.31572120937621,103.888837131268,LORONG 35 GEYLANG,100.0,44,44,14
12,CARPMAEL THIRTY-EIGHT,15.0,15.0,15.0,RCR,1,429781,1.31315720102799,103.89780367183799,CARPMAEL ROAD,68.75,16,11,15
13,M5,10.0,10.0,10.0,CCR,1,249185,1.29566658592682,103.82885975081,JALAN MUTIARA,33.33,33,11,10
14,KANDIS RESIDENCE,27.0,27.0,27.0,OCR,2,756971,1.45618292104071,103.836760072833,KANDIS LINK,83.61,61,51,27
15,PARC LIFE,27.0,27.0,27.0,OCR,0,756988,1.44263007635789,103.81941659844,SEMBAWANG CRESCENT,100.0,628,628,27
16,ASPEN LINQ,9.0,9.0,9.0,CCR,0,239669,1.29534157993432,103.83984438568301,INSTITUTION HILL,94.44,18,17,9
17,SANDY EIGHT,15.0,15.0,15.0,RCR,1,437324,1.31205162480468,103.89322363322201,SANDY LANE,70.0,20,14,15
18,ASCENT @ 456,12.0,12.0,12.0,RCR,0,329832,1.32657360790911,103.848359893837,BALESTIER ROAD,96.43,28,27,12
19,THE POIZ RESIDENCES,13.0,13.0,13.0,RCR,0,358474,1.33154468020701,103.866996465418,MEYAPPA CHETTIAR ROAD,99.45,731,727,13
20,183 LONGHAUS,20.0,20.0,20.0,RCR,0,574429,1.35096063593166,103.835503542512,UPPER THOMSON ROAD,97.5,40,39,20
21,THE RED HOUSE,15.0,15.0,15.0,RCR,0,428776,1.30539241248222,103.903484200601,EAST COAST ROAD,57.14,35,20,15
22,URBAN VILLAS,19.0,19.0,19.0,OCR,1,533942,1.34699612598768,103.882364626022,PAYA LEBAR CRESCENT,71.43,7,5,19
23,TWIN VEW,5.0,5.0,5.0,OCR,1,126756,1.3196876800603798,103.752699363733,WEST COAST VALE,87.5,520,455,5
24,NEEM TREE,12.0,12.0,12.0,RCR,1,329341,1.3273664689351798,103.851568376064,JALAN KEMAMAN,86.11,72,62,12
25,PARC BOTANNIA,28.0,28.0,28.0,OCR,55,797394,1.39799319572826,103.875269758363,FERNVALE STREET,72.79,735,535,28
26,THE NAVIAN,14.0,14.0,14.0,OCR,0,419530,1.32780887766584,103.906399584482,JALAN EUNOS,89.58,48,43,14
27,LE QUEST,23.0,23.0,23.0,OCR,5,657978,1.35602149294563,103.740697641546,BUKIT BATOK STREET 41,92.53,415,384,23
28,THE ALPS RESIDENCES,18.0,18.0,18.0,OCR,1,528538,1.3554287394292,103.929903616182,TAMPINES STREET 86,98.4,626,616,18
29,PARK PLACE RESIDENCES AT PLQ,14.0,14.0,14.0,RCR,4,409056,1.3167563411548702,103.89307903276101,PAYA LEBAR ROAD,97.9,429,420,14
30,NORTHWAVE,25.0,25.0,25.0,OCR,5,737703,1.44373743554445,103.810309503009,WOODLANDS VIEW,100.0,358,358,25
31,KALEIDO,15.0,15.0,15.0,OCR,0,425783,1.31302431574799,103.91318542248399,LORONG K TELOK KURAU,35.71,14,5,15
32,WHISTLER GRAND,5.0,5.0,5.0,OCR,23,126752,1.31961164929379,103.754330936499,WEST COAST VALE,95.33,300,286,5
33,35 GILSTEAD,11.0,11.0,11.0,CCR,3,309079,1.31711023904745,103.83795684474899,GILSTEAD ROAD,8.57,35,3,11
34,1953,12.0,12.0,12.0,RCR,18,217701,1.31647752400494,103.85775084992201,TESSENSOHN ROAD,31.03,58,18,12
35,PETIT JERVOIS,10.0,10.0,10.0,CCR,0,247657,1.29299859600983,103.823118014859,JERVOIS ROAD,100.0,1,1,10
36,MAYFAIR GARDENS,21.0,21.0,21.0,RCR,13,588407,1.33819401611974,103.782134045215,RIFLE RANGE ROAD,95.0,140,133,21
37,THE RAMFORD,15.0,15.0,15.0,RCR,6,424353,1.31125968514041,103.90507911406,RAMBAI ROAD,81.25,16,13,15
38,FOREST WOODS,19.0,19.0,19.0,OCR,2,536496,1.35138575561117,103.87634346565201,LORONG LEW LIAN,97.69,519,507,19
39,GEM RESIDENCES,12.0,12.0,12.0,RCR,1,319459,1.3393382098676798,103.851224736347,LORONG 5 TOA PAYOH,99.48,578,575,12
40,ONE MEYER,15.0,15.0,15.0,RCR,10,437988,1.29824018210279,103.886163635826,MEYER PLACE,15.15,66,10,15
41,PARC ESTA,14.0,14.0,14.0,RCR,36,408974,1.31827649910386,103.90261961113701,SIMS AVENUE,87.82,550,483,14
42,THE ADDITION,13.0,13.0,13.0,RCR,2,358461,1.3307568069743898,103.867230643479,MEYAPPA CHETTIAR ROAD,73.08,26,19,13
43,NYON,15.0,15.0,15.0,RCR,4,439858,1.29985812336731,103.898478990238,AMBER ROAD,4.35,92,4,15
44,BELGRAVIA GREEN,28.0,28.0,28.0,OCR,2,804279,1.37972739819928,103.864676372987,BELGRAVIA DRIVE,81.63,49,40,28
45,ALIAS VILLAS,10.0,10.0,10.0,CCR,0,268592,1.32317393945878,103.79508276788,JALAN HAJI ALIAS,0.0,6,0,10
46,FYVE DERBYSHIRE,11.0,11.0,11.0,CCR,1,309461,1.31627067397227,103.845722112332,DERBYSHIRE ROAD,16.67,36,6,11
47,V ON SHENTON,1.0,1.0,1.0,CCR,1,068814,1.27708340707632,103.849181343548,SHENTON WAY,90.2,500,451,1
48,BOTANIC @ CLUNY PARK,10.0,10.0,10.0,CCR,0,NIL,1.31798394169402,103.815269790283,CLUNY PARK ROAD,50.0,6,3,10
49,QUEENS PEAK,3.0,3.0,3.0,RCR,0,149457,1.29433666746303,103.807020127351,DUNDEE ROAD,94.7,736,697,3
50,NIM COLLECTION,28.0,28.0,28.0,OCR,11,804450,1.37980472780102,103.864127655266,NIM RISE,72.45,98,71,28
51,RESIDENCE TWENTY-TWO,15.0,15.0,15.0,OCR,1,423844,1.31101225037146,103.91104219781602,TELOK KURAU ROAD,4.55,22,1,15
52,CASHEW GREEN,23.0,23.0,23.0,OCR,0,679661,1.37278233519973,103.76955925269002,CASHEW ROAD,54.55,11,6,23
53,SOL ACRES,23.0,23.0,23.0,OCR,0,688215,1.37695782743826,103.75020070991998,CHOA CHU KANG GROVE,100.0,1327,1327,23
54,THE ESSENCE,26.0,26.0,26.0,OCR,6,779830,1.40345527031332,103.81716606382,CHONG KUO ROAD,7.14,84,6,26
55,10 EVELYN,11.0,11.0,11.0,CCR,0,309312,1.316154918304,103.840533848314,EVELYN ROAD,7.14,56,4,11
56,TK ONE,15.0,15.0,15.0,OCR,0,425269,1.31014704779659,103.91112045076,LORONG N TELOK KURAU,0.0,5,0,15
57,AFFINITY AT SERANGOON,19.0,19.0,19.0,OCR,50,554335,1.36579434950751,103.87450387523,SERANGOON NORTH AVENUE 1,74.0,650,481,19
58,SEA PAVILION RESIDENCES,16.0,16.0,16.0,OCR,0,466522,1.31506384580924,103.94314173038201,UPPER EAST COAST ROAD,100.0,24,24,16
59,RIVERFRONT RESIDENCES,19.0,19.0,19.0,OCR,55,533842,1.37220805247662,103.90025739134501,HOUGANG AVENUE 7,78.17,1200,938,19
60,CITY GATE,7.0,7.0,7.0,RCR,0,199597,1.30231590504577,103.86233166103399,BEACH ROAD,100.0,311,311,7
61,33 RESIDENCES,14.0,14.0,14.0,RCR,0,398366,1.31198083528285,103.886532676904,LORONG 30 GEYLANG,100.0,27,27,14
62,12 ON SHAN,12.0,12.0,12.0,RCR,0,328105,1.3247872620768202,103.846354106513,SHAN ROAD,0.0,30,0,12
63,LANDED HOUSING DEVELOPMENT,26.0,26.0,26.0,OCR,0,NIL,1.40352260909138,103.81377231305099,MENG SUAN ROAD,44.44,9,4,26
64,ALANA,28.0,28.0,28.0,OCR,0,804526,1.38909481421222,103.855457964932,SUNRISE TERRACE,88.46,26,23,28
65,KENT RIDGE HILL RESIDENCES,5.0,5.0,5.0,RCR,14,NIL,1.28679715459693,103.784658343144,SOUTH BUONA VISTA ROAD,60.8,250,152,5
66,THE GARDEN RESIDENCES,19.0,19.0,19.0,OCR,29,554348,1.36598986764595,103.87073580741301,SERANGOON NORTH VIEW,78.85,156,123,19
67,ONE TREE HILL COLLECTION,10.0,10.0,10.0,CCR,0,249380,1.30106116599644,103.825496966252,JALAN ARNAP,75.0,4,3,10
68,THE JOVELL,17.0,17.0,17.0,OCR,8,506765,1.3573936395466202,103.96596914554199,FLORA DRIVE,26.8,250,67,17
69,LINK RESIDENCE @ HOLLAND,10.0,10.0,10.0,CCR,0,279353,1.32202720700895,103.78682746009399,GREENLEAF ROAD,0.0,2,0,10
70,RV ALTITUDE,9.0,9.0,9.0,CCR,2,238385,1.29653566001894,103.83517945905001,RIVER VALLEY ROAD,33.33,63,21,9
71,DAINTREE RESIDENCE,21.0,21.0,21.0,RCR,0,596134,1.33936076031624,103.770299867501,TOH TUCK ROAD,58.75,80,47,21
72,FOURTH AVENUE RESIDENCES,10.0,10.0,10.0,CCR,9,NIL,1.3301031379017398,103.796830764171,FOURTH AVENUE,46.43,168,78,10
73,TREASURE AT TAMPINES,18.0,18.0,18.0,OCR,289,528457,1.34425932289797,103.949073592994,TAMPINES LANE,58.98,490,289,18
74,EDEN RESIDENCES CAPITOL,6.0,6.0,6.0,CCR,0,178884,1.2929881833109198,103.85104659785499,STAMFORD ROAD,41.03,39,16,6
75,FERRA,9.0,9.0,9.0,CCR,0,239219,1.29930788596275,103.832399949956,LEONIE HILL,0.0,33,0,9
76,ARENA RESIDENCES,14.0,14.0,14.0,RCR,4,399915,1.30967685823487,103.880642764235,GUILLEMARD CRESCENT,71.43,70,50,14
77,SIXTEEN35 RESIDENCES,14.0,14.0,14.0,RCR,0,387946,1.31547407018064,103.888827552085,LORONG 35 GEYLANG,100.0,60,60,14
78,WATERCOVE,27.0,27.0,27.0,OCR,1,757529,1.46159897669945,103.839537620712,WAK HASSAN DRIVE,94.59,74,70,27
79,RIVERCOVE RESIDENCES,19.0,19.0,19.0,OCR,1,544594,1.39351688107242,103.88364325964899,ANCHORVALE LANE,98.73,628,620,19
80,120 GRANGE,10.0,10.0,10.0,CCR,0,249600,1.29997909930356,103.82552281449199,GRANGE ROAD,90.0,50,45,10
81,JUI RESIDENCES,12.0,12.0,12.0,RCR,3,328231,1.3262687072764698,103.86614267361401,SERANGOON ROAD,42.74,117,50,12
82,ONE DRAYCOTT,10.0,10.0,10.0,CCR,0,259385,1.31008460714388,103.83071567633301,DRAYCOTT PARK,4.69,64,3,10
83,HARBOUR VIEW GARDENS,5.0,5.0,5.0,RCR,0,118584,1.27907327646797,103.78493242829398,PASIR PANJANG ROAD,98.25,57,56,5
84,38 JERVOIS,10.0,10.0,10.0,CCR,0,249078,1.2940944649806598,103.82271555485201,JERVOIS ROAD,37.04,27,10,10
85,THE TAPESTRY,18.0,18.0,18.0,OCR,30,528512,1.35339102396781,103.929017486717,TAMPINES STREET 86,87.43,700,612,18
86,MARINA ONE RESIDENCES,1.0,1.0,1.0,CCR,10,018979,1.2772242561628702,103.853694940241,MARINA WAY,85.39,671,573,1
87,AMBER 45,15.0,15.0,15.0,RCR,0,439886,1.30234997893114,103.90126790076799,AMBER ROAD,82.5,120,99,15
88,JADESCAPE,20.0,20.0,20.0,RCR,11,575749,1.3518148538389998,103.838298222332,SHUNFU ROAD,80.21,480,385,20
89,THE ENCLAVE . HOLLAND,10.0,10.0,10.0,CCR,0,278569,1.3121352205859398,103.79901103753099,HOLLAND ROAD,100.0,10,10,10
90,BOULEVARD 88,10.0,10.0,10.0,CCR,26,248655,1.3049543207656398,103.827627471264,ORCHARD BOULEVARD,74.29,35,26,10
91,SEASUITES,5.0,5.0,5.0,RCR,0,118617,1.2824208327018898,103.783142732009,PASIR PANJANG ROAD,96.15,52,50,5
92,KALLANG RIVERSIDE,12.0,12.0,12.0,RCR,0,338986,1.3071047418165802,103.867087818477,KAMPONG BUGIS,93.87,212,199,12
93,STIRLING RESIDENCES,3.0,3.0,3.0,RCR,45,148962,1.29114950641847,103.80457361051701,STIRLING ROAD,87.94,680,598,3
94,THE TRE VER,13.0,13.0,13.0,RCR,131,358399,1.33649233871609,103.865628864789,POTONG PASIR AVENUE 1,97.33,450,438,13
95,3 CUSCADEN,10.0,10.0,10.0,CCR,6,249690,1.3039333193071,103.82938816157801,CUSCADEN WALK,36.46,96,35,10
96,PARKSUITES,10.0,10.0,10.0,CCR,0,278805,1.31585312169371,103.78287202099101,HOLLAND GROVE ROAD,34.0,50,17,10
97,CASA AL MARE,17.0,17.0,17.0,OCR,0,506930,1.37785629605719,103.95708961997299,JALAN LOYANG BESAR,22.45,49,11,17
98,BUKIT 828,23.0,23.0,23.0,OCR,1,678155,1.3738359173589798,103.763124764765,UPPER BUKIT TIMAH ROAD,52.94,17,9,23
99,8 HULLET,9.0,9.0,9.0,CCR,0,229160,1.30301094048972,103.838718322482,HULLET ROAD,79.55,44,35,9
100,MONT BOTANIK RESIDENCE,23.0,23.0,23.0,OCR,0,NIL,1.35833161787518,103.760010714342,JALAN REMAJA,11.11,54,6,23
101,MARGARET VILLE,3.0,3.0,3.0,RCR,10,149312,1.29951720808421,103.802806930224,MARGARET DRIVE,85.11,188,160,3
102,BIJOU,5.0,5.0,5.0,RCR,1,119554,1.27685386379361,103.79174217178499,JALAN MAT JAMBOL,65.83,120,79,5
103,THE WOODLEIGH RESIDENCES,13.0,13.0,13.0,RCR,0,367801,1.3391415935071,103.87227624503001,BIDADARI PARK DRIVE,54.0,50,27,13
104,THE OCTET,14.0,14.0,14.0,RCR,0,398628,1.3120699913603702,103.883562422294,LORONG 24 GEYLANG,98.21,56,55,14
105,PARK COLONIAL,13.0,13.0,13.0,RCR,11,357658,1.3382315968815,103.869540683996,WOODLEIGH LANE,72.05,805,580,13
